San Diego 1
KING DREW MAGNET HS MED/SCI|Los Angeles|Los Angeles||KING/DREW MEDICAL MAGNET HIGH|Los Angeles|Los Angeles Unified|90059
LA CENTER ENRICHED STUDIES|Los Angeles|Los Angeles||LOS ANGELES CENTER FOR ENRICHED STUDIES|Los Angeles|Los Angeles Unified|90035
LAKE BALBOA COLLEGE PREP K-12|Los Angeles|Van Nuys||LAKE BALBOA COLLEGE PREPARATORY MAGNET K-12|Los Angeles|Los Angeles Unified|91406
LEADERSHIP&PUBLIC SVC VIRTUAL ACA|Los Angeles|Los Angeles||LEADERSHIP & PUBLIC SERVICE VIRTUAL ACADEMY|Los Angeles|Los Angeles Unified|90007
LEARNING POST ACADEMY|Los Angeles|Santa Clarita||LEARNING POST ACADEMY (ALTERNATIVE)|Los Angeles|William S. Hart Union High|91321
LEGACY HIGH SCHOOL VAPA|Los Angeles|South Gate||VISUAL AND PERFORMING ARTS AT LEGACY HIGH SCHOOL C|Los Angeles|Los Angeles Unified|90280
LENNOX MATH SCIENCE TECH ACAD|Los Angeles|Inglewood||LENNOX MATHEMATICS, SCIENCE AND TECHNOLOGY ACADEMY|Los Angeles|Lennox Mathematics, Science and Technolo|90304
LIBRA ACADEMY AT LINDA MARQUEZ HS|Los Angeles|Huntington Park||LINDA ESPERANZA MARQUEZ HIGH B LIBRA ACADEMY|Los Angeles|Los Angeles Unified|90255
LINDA MARQUEZ HS-SOC JUSTICE|Los Angeles|Huntington Park||LINDA ESPERANZA MARQUEZ HIGH C SCHOOL OF SOCIAL JU|Los Angeles|Los Angeles Unified|90255
LONG BEACH POLYTECHNIC HS|Los Angeles|Long Beach||POLYTECHNIC HIGH|Los Angeles|Long Beach Unified|90813
LOS ANGELES ACAD ARTS ENTRPRSE|Los Angeles|Los Angeles||LOS ANGELES ACADEMY OF ARTS AND ENTERPRISE|Los Angeles|Los Angeles Academy of Arts and Enterpri|90026
LOS ANGELES COUNTY HS FOR THE ARTS|Los Angeles|Los Angeles||L.A. COUNTY HIGH SCHOOL FOR THE ARTS|Los Angeles|Los Angeles County Office of Education|90032
LOS ANGELES HS OF THE ARTS|Los Angeles|Los Angeles||LOS ANGELES HIGH SCHOOL OF THE ARTS|Los Angeles|Los Angeles Unified|90005
LOS ANGELES LEADERSHIP ACAD HS|Los Angeles|Los Angeles||LOS ANGELES LEADERSHIP ACADEMY|Los Angeles|Los Angeles Leadership Academy|90031
MATH AND SCIENCE COLLEGE PREP|Los Angeles|Los Angeles||MATH AND SCIENCE COLLEGE PREPARATORY|Los Angeles|Math and Science College Preparatory|90018
MATH SCIENCE TECHNOLOGY MAGNET|Los Angeles|Los Angeles||MATH, SCIENCE, & TECHNOLOGY MAGNET ACADEMY AT ROOS|Los Angeles|Los Angeles Unified|90033
MAYWOOD CTR ENRICHED STUDIES|Los Angeles|Maywood||MAYWOOD CENTER FOR ENRICHED STUDIES|Los Angeles|Los Angeles Unified|90270
MERVYN M DYMALLY HIGH SCHOOL|Los Angeles|Los Angeles||MERVYN M. DYMALLY HIGH|Los Angeles|Los Angeles Unified|90003
MIGUEL CONTRERAS LRNG COMPLEX|Los Angeles|Los Angeles||CONTRERAS LEARNING CENTER-ACADEMIC LEADERSHIP COMM|Los Angeles|Los Angeles Unified|90017
